year,state,sector_id,estimated_factories,employees,workers,male_direct_workers,female_direct_workers,other_direct_workers,contract_workers,supervisory_workers,wages,emoluments,compensation_employees,fixed_capital,gfcf,total_input,total_output,gva,direct_imports,direct_exports,rd_expense,sample_factories,effective_sample_size,young_factory_share,foreign_factory_share,rd_unit_share,training_factory_share,largest_gva_contributor_share,gva_output_ratio,gva_per_worker,emoluments_per_employee,labour_share_gva,contract_worker_share,female_direct_worker_share,import_input_share,direct_export_output_share,rd_gva_share,stability,year_label
2021,27,aerospace-defence,22.41666667,6002.25000001,4415.83333334,2477.83333334,415.0,0.0,1523.0,1017.41666667,2343802405.7522936,2404663441.669185,2871786981.419828,14125485222.427078,1410198619.5834205,27797587434.604095,36344958063.02358,8547370628.419485,10258562630.0,4024472619.35,0.0,10.0,3.208380118583783,0.0515021459139052,0.1030042918278104,0.0,0.2575107295695261,0.4537718750727899,0.2351734899129064,1424027.7609905028,400627.0051505984,0.3359848433237833,0.3448952632566976,0.143457970847166,0.3690450710564014,0.1107298737935371,0.0,moderate,2021-22
2022,27,aerospace-defence,15.0,6292.0,4749.0,2813.0,431.0,0.0,1505.0,1184.0,2524095479.0,2660553563.0,3154868650.0,14680204459.0,1886088556.0,33842166975.0,45815238932.0,11973071957.0,14811853018.0,0.0,0.0,11.0,11.0,0.0909090909090909,0.1818181818181818,0.0,0.5454545454545454,0.422038513102373,0.2613338320634036,1902903.9982517485,422847.03798474255,0.2634970090658747,0.3169088229100863,0.1328606658446362,0.4376744854707992,0.0,0.0,moderate,2022-23
2023,27,aerospace-defence,16.0,11485.0,6344.0,4651.0,159.0,0.0,1534.0,2364.0,10107179678.0,10326238815.0,11391472898.0,15846881545.0,1671969791.0,38138869225.0,46666055171.0,8527185946.0,4500996490.0,291604752.14,0.0,12.0,12.0,0.0833333333333333,0.0833333333333333,0.0,0.1666666666666666,0.5950204362580127,0.1827278074984814,742462.8599042229,899106.5576839356,1.3359006089627496,0.2418032786885245,0.033056133056133,0.1180159921220107,0.0062487551405719,0.0,moderate,2023-24
2008,29,aerospace-defence,37.5559,3340.7613,2387.0831,1832.5689,52.5142,0.0,502.0,704.5002,682365203.6701,703664227.5863,824607556.2078,2450845543.4698,941533463.0093,6786523401.384899,8954677113.2127,2168153711.8278,4273309126.8236,1645951475.13,0.0,13.0,9.184338426691417,0.4840357973048176,0.0,0.0,,0.4164549404750476,0.2421252809471679,648999.88868639,210629.9027069967,0.3803270735415887,0.2102985019666889,0.0278577639362423,0.6296757373519941,0.1838091373167867,0.0,moderate,2008-09
2009,29,aerospace-defence,43.4333,1926.1988,1405.599,1142.349,0.0,0.0,263.25,321.78319999999997,388058286.6871,403196691.538,443930010.5579,2296219911.4734,564388191.9927,1472517591.9921,2266674694.6982,794157102.7061001,426104656.5,1453401.8275,0.0,11.0,8.528860040579854,0.2601690408050966,0.0,0.0,,0.2977133249760758,0.3503621867591544,412292.38783977024,209322.4705248492,0.5589952026434103,0.1872867012569018,0.0,0.2893715218189978,0.0006412044175988,0.0,moderate,2009-10
2012,29,aerospace-defence,39.2,3714.5,2399.6,1897.6,79.0,0.0,423.0,1040.9,1326078545.9,1394677649.9,1672670844.5,4772882398.5,505432193.4,7804692708.1,10889465215.3,3084772507.2,4906127179.0,7525682846.9,0.0,13.0,4.740667612759919,0.6556122448979591,0.0,0.0,,0.6650451228450964,0.2832804408857295,830467.7634136492,375468.4748687576,0.5422347484606758,0.1762793798966494,0.0399676211676616,0.6286124723281211,0.6910975606337589,0.0,moderate,2012-13
2014,29,aerospace-defence,41.70588235,5656.52941165,3250.41176465,2201.41176465,120.0,0.0,929.0,1017.7058823,2361124808.494624,2514194007.490925,2925941893.1881437,6520467621.555069,723298516.8644174,11471954515.696115,17282959558.037075,5811005042.3409605,6702488996.19575,512527513.49,0.0,16.0,5.905660932072611,0.0719322990177667,0.0,0.0,,0.6413225581379536,0.3362274281107529,1027309.259697794,444476.4314869069,0.5035173557532191,0.2858099426366165,0.0516926819392131,0.5842499625521784,0.029655077984121,0.0,moderate,2014-15
2015,29,aerospace-defence,28.76576576,5735.46846826,3459.40540524,2460.10810795,167.29729729000002,0.0,832.0,1165.33333332,3031379556.271859,3099006678.1091495,3572237896.780965,7435857249.242556,1391254442.761809,15739695307.524227,23303385406.96981,7563690099.445585,9921130073.0,14142124687.76,0.0,16.0,6.608280795288828,0.1042906357866414,0.2085812715732828,0.0347635452622138,,0.6301198613646994,0.3245747331279755,1318757.1584261926,540323.2003207773,0.4722877127187969,0.240503757882716,0.0636739564272603,0.6303254211190028,0.6068699650622537,0.0,moderate,2015-16
2016,29,aerospace-defence,34.52342342,6736.69639628,4427.61531524,2839.61531524,197.0,0.0,1391.0,902.96396394,3589436979.3015,3661118584.3015,4233134557.4287024,10111433865.006298,1919442938.4058173,20640549090.946342,29759381349.493332,9118832258.546986,11384978160.201525,20240169970.086723,16494193.0,16.0,7.273104914646071,0.2714519900306769,0.0894896670430802,0.0596597780287201,,0.5514557971593991,0.3064187441081411,1353605.9400839852,543459.0441574845,0.4642189303856346,0.3141646012498266,0.06487486215699,0.55158310517986,0.6801273767215367,0.0018088053966054,moderate,2016-17
2017,29,aerospace-defence,60.0888888,9381.4666652,6623.61111,4586.4333324,193.0,0.0,1844.1777776,2322.222222,4695621093.001112,4791558891.784565,5405583750.727146,12604509901.098688,2382650794.31201,21937489193.829075,31764535211.24258,9827046017.413504,12242008477.0,22923989988.21,7726578.0,19.0,8.370840847158815,0.5602524867027583,0.0688599848031522,0.0344299924015761,,0.4863964734191607,0.3093716294622616,1047495.7027632316,510747.3130569841,0.5500720909567802,0.2784248270276242,0.0403813562356114,0.5580405473404689,0.7216850438943743,0.0007862564178806,moderate,2017-18
2018,29,aerospace-defence,31.5,7747.0,4517.5,2851.5,210.0,0.0,1456.0,2600.0,4897288310.0,4969322238.0,5655193763.5,11503732684.0,757151505.5,27781251168.5,40509597371.5,12728346203.0,16778523157.0,28282752143.979996,10848955.0,19.0,6.333333333333333,0.2456140350877192,0.1403508771929824,0.1403508771929824,,0.4967819694653917,0.3142056951658291,1643003.253259326,641451.1730992643,0.4442991786448346,0.3223021582733812,0.06859382655561,0.6039513143318925,0.6981741113003004,0.0008523460021415,moderate,2018-19
2019,29,aerospace-defence,63.72764228,9642.77642285,6058.804878110001,3942.57723583,325.22764228,0.0,1791.0,2097.57723578,5833445360.377832,6142110036.341278,7068299863.688717,13061582763.505589,792239138.0497972,33341074520.137264,48722800704.60268,15381726184.465414,18590063493.0,2317898450.74,0.0,26.0,9.222029816497308,0.3238503246894043,0.0658678626375283,0.0329339313187641,,0.4574221207948686,0.3156987275366614,1595155.327672652,636964.8913342666,0.4595257891684003,0.2956028517225808,0.0762048996073192,0.5575724166229861,0.0475731775928274,0.0,moderate,2019-20
